                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.71232,                0.50933,                 1.0613,                0.89776,                0.84336,                0.87959,                0.69401,                0.85351,                0.65034,                 1.0479,               6.25e-05,               6.25e-05,               6.25e-05
                      2,                0.65694,                0.47683,                 1.0414,                0.85274,                 0.8805,                0.86243,                0.71862,                0.79813,                 0.6641,                 1.0321,             0.00013696,             0.00013696,             0.00013696
                      3,                0.60559,                0.44594,                0.99553,                 0.9158,                0.82691,                0.85388,                0.71271,                0.80222,                0.71531,                 1.0477,             0.00021082,             0.00021082,             0.00021082
                      4,                0.62681,                0.43954,                 1.0156,                0.87461,                0.82897,                0.86623,                0.71092,                0.80275,                0.71859,                   1.05,             0.00028408,             0.00028408,             0.00028408
                      5,                0.54638,                0.40839,                0.94923,                0.85924,                0.80076,                 0.8462,                0.67046,                 0.8225,                0.83367,                 1.0601,             0.00035676,             0.00035676,             0.00035676
                      6,                0.59082,                0.48069,                0.98807,                0.78088,                0.82806,                 0.8594,                0.67251,                0.86101,                0.77864,                 1.0789,             0.00042884,             0.00042884,             0.00042884
                      7,                0.54262,                0.41648,                0.95901,                0.81169,                0.88075,                0.89781,                0.71392,                0.87646,                0.63923,                 1.1097,             0.00050032,             0.00050032,             0.00050032
                      8,                0.59721,                0.44316,                0.96687,                0.87258,                0.83856,                0.89165,                0.71724,                0.86822,                0.62796,                 1.1003,             0.00057121,             0.00057121,             0.00057121
                      9,                0.58976,                0.45888,                0.95158,                0.82301,                0.72962,                0.82439,                0.67017,                0.90545,                0.73139,                 1.1067,             0.00064151,             0.00064151,             0.00064151
                     10,                 0.5586,                0.46138,                0.96035,                0.87956,                0.69212,                0.81762,                0.65833,                0.88662,                0.73193,                 1.1047,             0.00071122,             0.00071122,             0.00071122
                     11,                0.62579,                0.47781,                0.98099,                0.74724,                0.73492,                0.82661,                0.65731,                0.89131,                0.75588,                 1.0914,             0.00078033,             0.00078033,             0.00078033
                     12,                0.58521,                0.45496,                 0.9562,                 0.5885,                0.59677,                0.69433,                0.54598,                 0.9787,                0.99034,                 1.1733,             0.00084884,             0.00084884,             0.00084884
                     13,                0.53289,                0.43109,                0.93572,                0.84188,                0.49905,                0.54942,                0.44505,                  1.023,                 1.4053,                 1.2283,             0.00091676,             0.00091676,             0.00091676
                     14,                0.54688,                0.44483,                  0.944,                0.84082,                0.53041,                0.58368,                0.46216,                 1.0994,                 1.6144,                 1.2519,             0.00098409,             0.00098409,             0.00098409
                     15,                 0.5885,                0.45511,                0.96608,                0.84308,                0.55761,                0.61628,                0.47757,                 1.1232,                 1.6459,                 1.2881,              0.0010508,              0.0010508,              0.0010508
                     16,                0.57268,                0.43982,                0.94712,                0.88791,                0.59225,                0.67357,                 0.5064,                 1.0557,                 1.2149,                 1.2222,               0.001117,               0.001117,               0.001117
                     17,                 0.5595,                0.44254,                0.96053,                0.75431,                0.64214,                 0.7079,                 0.5073,                  1.073,                 1.0728,                 1.2605,              0.0011708,              0.0011708,              0.0011708
                     18,                0.56585,                0.43965,                0.93229,                0.73018,                0.80832,                0.81997,                0.61367,                 0.9953,                0.78473,                 1.2237,              0.0011708,              0.0011708,              0.0011708
                     19,                 0.5781,                0.45427,                0.95093,                0.79881,                 0.7952,                0.85247,                0.63387,                0.98791,                0.75477,                 1.2098,              0.0011658,              0.0011658,              0.0011658
                     20,                0.59523,                 0.4488,                0.96345,                0.69849,                 0.7374,                0.80159,                0.57363,                 1.0634,                 1.0196,                 1.2473,              0.0011609,              0.0011609,              0.0011609
                     21,                0.60614,                0.47041,                0.96619,                0.78391,                0.79882,                0.85493,                0.63159,                 1.0116,                  0.888,                 1.2099,              0.0011559,              0.0011559,              0.0011559
                     22,                 0.5881,                0.44678,                0.95057,                0.88293,                0.78934,                0.88449,                0.66291,                 1.0086,                0.82013,                 1.2253,               0.001151,               0.001151,               0.001151
